STATEFIPS;STATE;ZIPCODE;NumofReturns;TotalIncome;Salaries;NumofRetwithDivis;Divis;NumofRetwithRE;Retax
34;NJ;8247;470.0000;92686.0000;34839.0000;270.0000;4960.0000;110.0000;1481.0000
34;NJ;8251;5110.0000;244964.0000;154958.0000;730.0000;2024.0000;250.0000;1247.0000
34;NJ;8260;7220.0000;452241.0000;239680.0000;1590.0000;8653.0000;630.0000;5394.0000
34;NJ;8270;3650.0000;240921.0000;161489.0000;660.0000;2264.0000;290.0000;1702.0000
34;NJ;8302;19080.0000;950274.0000;698040.0000;2110.0000;7866.0000;950.0000;6448.0000
34;NJ;8310;850.0000;48623.0001;32428.0000;130.0000;749.0000;60.0000;444.0000
34;NJ;8311;1110.0000;50450.0000;38592.0000;100.0000;116.0000;50.0000;279.0000
34;NJ;8312;4190.0000;245630.0000;181450.0000;500.0000;1452.0000;370.0000;2616.0000
34;NJ;8314;150.0000;5861.0002;3643.0000;0.0000;0.0000;0.0000;0.0000
34;NJ;8317;600.0000;39893.0000;27128.0000;130.0000;195.0000;40.0000;239.0000
34;NJ;8318;6090.0000;447403.0000;306638.0000;1310.0000;6205.0000;520.0000;4370.0000
34;NJ;8319;660.0000;47098.0001;33557.0000;150.0000;297.0000;50.0000;373.0000
34;NJ;8322;5100.0000;386681.0000;289488.0000;880.0000;2747.0000;530.0000;4543.0000
34;NJ;8323;360.0000;30048.0003;16558.0000;90.0000;523.0000;30.0000;184.0000
34;NJ;8324;210.0000;10202.0003;6983.0000;0.0000;0.0000;0.0000;0.0000
34;NJ;8326;840.0000;42166.0000;32490.0000;80.0000;139.0000;50.0000;276.0000
34;NJ;8327;420.0000;18250.0000;12265.0000;40.0000;14.0000;0.0000;0.0000
34;NJ;8328;650.0000;40443.0000;30286.0000;90.0000;105.0000;50.0000;382.0000
34;NJ;8330;15550.0000;929004.0000;652362.0000;2420.0000;8073.0000;1360.0000;9560.0000
34;NJ;8332;16810.0000;891335.0000;627234.0000;1860.0000;7963.0000;1000.0000;6680.0000
34;NJ;8340;420.0000;33114.0000;20153.0000;110.0000;418.0000;40.0000;366.0000
34;NJ;8341;810.0000;43450.0000;31546.0000;90.0000;128.0000;30.0000;199.0000
34;NJ;8343;2270.0000;202344.0000;136108.0000;600.0000;2827.0000;260.0000;2453.0000
34;NJ;8344;2980.0000;198940.0000;141707.0000;480.0000;1566.0000;250.0000;1920.0000
34;NJ;8345;350.0000;18321.0001;13631.0000;50.0000;32.0000;30.0000;126.0000
34;NJ;8346;390.0000;18506.0000;14148.0000;0.0000;0.0000;40.0000;212.0000
34;NJ;8348;130.0000;7708.0002;5024.0000;20.0000;32.0000;0.0000;0.0000
34;NJ;8349;840.0000;39182.0000;28886.0000;70.0000;86.0000;20.0000;110.0000
34;NJ;8350;400.0000;25400.0000;15642.0000;70.0000;222.0000;30.0000;175.0000
34;NJ;8353;260.0000;15357.0001;10657.0000;40.0000;38.0000;0.0000;0.0000
34;NJ;8360;20920.0000;969059.0000;727652.0000;1830.0000;7602.0000;1060.0000;6434.0000
34;NJ;8361;9240.0000;769671.0000;448982.0000;2050.0000;13422.0000;910.0000;6502.0000
34;NJ;8401;16560.0000;573177.0000;348954.0000;970.0000;5072.0000;460.0000;3835.0000
34;NJ;8402;3040.0000;420397.0000;205908.0000;1450.0000;14894.0000;680.0000;7673.0000
34;NJ;8403;540.0000;105131.0000;50377.0000;310.0000;5221.0000;160.0000;2224.0000
34;NJ;8406;4910.0000;374377.0000;208640.0000;1250.0000;8983.0000;530.0000;5532.0000
34;NJ;8501;3370.0000;436170.0000;281691.0000;1410.0000;10316.0000;670.0000;8259.0000
34;NJ;8502;5270.0000;1122603.0000;810949.0000;2730.0000;27403.0000;1130.0000;19585.0000
34;NJ;8505;9600.0000;795144.0000;590702.0000;2440.0000;7919.0000;1370.0000;11854.0000
34;NJ;8510;2480.0000;401532.0000;254629.0000;1010.0000;6578.0000;560.0000;7865.0000
34;NJ;8511;470.0000;34468.0000;26884.0000;80.0000;56.0000;50.0000;264.0000
34;NJ;8512;6280.0000;819358.0000;549372.0000;2250.0000;38148.0000;940.0000;12434.0000
34;NJ;8514;2320.0000;271032.0000;183981.0000;800.0000;4221.0000;440.0000;5344.0000
34;NJ;8515;2840.0000;376764.0000;289879.0000;1110.0000;4091.0000;640.0000;8005.0000
34;NJ;8518;3010.0000;215832.0000;164641.0000;520.0000;1204.0000;310.0000;2375.0000
34;NJ;8520;15060.0000;1254011.0000;957345.0000;3820.0000;18788.0000;1760.0000;17769.0000
34;NJ;8525;2320.0000;348265.0000;224452.0000;1120.0000;12609.0000;520.0000;7901.0000
34;NJ;8527;27740.0000;2246113.0000;1476009.0000;7190.0000;30413.0000;4250.0000;39134.0000
34;NJ;8528;250.0000;29884.0002;17289.0000;90.0000;654.0000;30.0000;275.0000
34;NJ;8530;3910.0000;478802.0000;317426.0000;1640.0000;12554.0000;770.0000;8763.0000
34;NJ;8533;3580.0000;286455.0000;216329.0000;860.0000;1950.0000;450.0000;3909.0000
34;NJ;8534;6330.0000;1350015.0000;890780.0000;3330.0000;64162.0000;1470.0000;24814.0000
34;NJ;8535;2640.0000;446854.0000;290890.0000;1110.0000;9703.0000;630.0000;8512.0000
34;NJ;8536;9550.0000;1289183.0000;1001744.0000;3460.0000;19723.0000;910.0000;12483.0000
34;NJ;8540;21450.0000;5229023.0000;3182381.0000;11230.0000;254798.0000;4670.0000;94263.0000
34;NJ;8542;1720.0000;253567.0000;139031.0000;640.0000;19516.0000;220.0000;3988.0000
34;NJ;8550;9210.0000;2046743.0000;1475468.0000;5330.0000;76687.0000;1980.0000;33559.0000
34;NJ;8551;2850.0000;441814.0000;298350.0000;1330.0000;15373.0000;590.0000;7734.0000
34;NJ;8553;420.0000;56047.0000;37502.0000;190.0000;1577.0000;80.0000;953.0000
34;NJ;8554;1940.0000;117741.0001;88905.0000;280.0000;530.0000;160.0000;896.0000
34;NJ;8558;3590.0000;1009305.0000;638272.0000;2270.0000;48446.0000;1180.0000;21668.0000
34;NJ;8559;2400.0000;360319.0000;207009.0000;1110.0000;12090.0000;480.0000;5573.0000
34;NJ;8560;1780.0000;264634.0000;178396.0000;870.0000;8535.0000;360.0000;5287.0000
34;NJ;8562;2540.0000;163560.0000;115685.0000;480.0000;1533.0000;210.0000;1712.0000
34;NJ;8608;450.0000;13998.0001;12454.0000;0.0000;0.0000;0.0000;0.0000
34;NJ;8609;6330.0000;198135.0000;165013.0000;130.0000;94.0000;130.0000;622.0000
34;NJ;8610;17000.0000;891009.0000;655603.0000;2210.0000;5648.0000;1290.0000;8580.0000
34;NJ;8611;11170.0000;343541.0001;280511.0000;280.0000;565.0000;240.0000;1367.0000
34;NJ;8618;16410.0000;735814.0000;553142.0000;1330.0000;5253.0000;1140.0000;7840.0000
34;NJ;8619;12540.0000;939069.0000;676595.0000;3040.0000;10816.0000;1400.0000;11265.0000
34;NJ;8620;6270.0000;537014.0000;368974.0000;1730.0000;5609.0000;820.0000;7682.0000
34;NJ;8628;5780.0000;454178.0000;326436.0000;1530.0000;7549.0000;690.0000;5927.0000
34;NJ;8629;6580.0000;249849.0000;201345.0000;270.0000;409.0000;290.0000;1335.0000
34;NJ;8638;11640.0000;573844.0000;425295.0000;1300.0000;3975.0000;930.0000;6772.0000
34;NJ;8640;980.0000;54514.0000;51579.0000;110.0000;88.0000;0.0000;0.0000
34;NJ;8641;1620.0000;87435.0000;82420.0000;210.0000;194.0000;0.0000;0.0000
34;NJ;8648;15680.0000;1509584.0000;1075660.0000;5060.0000;29071.0000;1990.0000;19066.0000
34;NJ;8690;10650.0000;957451.0000;641715.0000;3560.0000;14101.0000;1480.0000;13044.0000
34;NJ;8691;8290.0000;1154529.0000;809077.0000;3480.0000;19086.0000;1580.0000;19862.0000
34;NJ;8701;37130.0000;2791279.0000;1357012.0000;9430.0000;43880.0000;4000.0000;42653.0000
34;NJ;8721;11050.0000;808524.0000;576565.0000;2260.0000;7997.0000;1430.0000;10860.0000
34;NJ;8722;5700.0000;368694.0000;282402.0000;920.0000;1833.0000;590.0000;3593.0000
34;NJ;8723;17580.0000;1298776.0000;877248.0000;4050.0000;16404.0000;2440.0000;18835.0000
34;NJ;8724;22870.0000;1771466.0000;1184875.0000;5940.0000;25500.0000;3140.0000;24862.0000
34;NJ;8730;2790.0000;500368.0000;275969.0000;1350.0000;17562.0000;730.0000;9249.0000
34;NJ;8731;11520.0000;905157.0000;590629.0000;2850.0000;13666.0000;1590.0000;11592.0000
34;NJ;8733;1450.0000;67815.0000;52733.0000;100.0000;114.0000;90.0000;529.0000
34;NJ;8734;3880.0000;317568.0000;217648.0000;1000.0000;3574.0000;530.0000;4146.0000
34;NJ;8735;1940.0000;288891.0000;146877.0000;1050.0000;9894.0000;430.0000;5044.0000
34;NJ;8736;6950.0000;1050843.0000;604806.0000;3180.0000;36371.0000;1680.0000;19757.0000
34;NJ;8738;550.0000;169783.0000;73439.0000;370.0000;8258.0000;170.0000;4224.0000
34;NJ;8741;1450.0000;134550.0000;84435.0000;460.0000;2384.0000;200.0000;1818.0000
34;NJ;8742;13730.0000;1549917.0000;999510.0000;4860.0000;37175.0000;2580.0000;25688.0000
34;NJ;8750;2090.0000;539782.0000;294816.0000;1270.0000;21132.0000;640.0000;8880.0000
34;NJ;8751;2190.0000;158984.0000;87466.0000;570.0000;2784.0000;290.0000;2819.0000
34;NJ;8752;1310.0000;169355.0000;72333.0000;630.0000;5118.0000;280.0000;3362.0000
34;NJ;8753;33750.0000;2637301.0000;1789832.0000;7510.0000;33592.0000;4310.0000;34398.0000
34;NJ;8755;13430.0000;1034231.0000;610926.0000;3430.0000;17974.0000;1890.0000;15680.0000
34;NJ;8757;19300.0000;1010157.0000;548150.0000;4570.0000;14722.0000;1580.0000;8124.0000
34;NJ;8758;4400.0000;353173.0000;166534.0000;1480.0000;9741.0000;560.0000;4200.0000
34;NJ;8759;19460.0000;1092287.0000;482616.0000;5900.0000;28353.0000;1760.0000;10540.0000
34;NJ;8801;3960.0000;589168.0000;410138.0000;1890.0000;16232.0000;820.0000;9486.0000
